[root@66-116-196-192 AutoCarV8]# pm2 logs --lines 200
[TAILING] Tailing last 200 lines for [all] processes (change the value with --lines option)
/root/.pm2/pm2.log last 200 lines:
PM2        | 2025-10-28T12:36:09: PM2 log: App [autocarv5:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:37:39: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:37:39: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:37:55: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:37:55: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:37:55: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:37:56: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:37:56: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:37:56: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:37:57: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:37:57: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:37:57: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:38:35: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-10-28T12:38:35: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-10-28T12:38:35: PM2 log: pid=787019 msg=process killed
PM2        | 2025-10-28T12:38:35: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:38:35: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:38:56: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:38:56: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:38:56: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:38:58: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:38:58: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:38:58: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:38:59: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:38:59: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:38:59: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:39:00: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:39:00: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:39:00: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:39:02: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:39:02: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:39:02: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:39:03: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:39:03: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:39:03: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:39:09: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:39:09: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:39:09: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:39:32: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:39:32: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:39:32: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:39:37: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:39:37: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:39:37: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:40:21: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:40:21: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:40:21: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:40:23: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:40:23: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:40:23: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:40:27: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:40:27: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:40:27: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:41:06: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:41:06: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:41:06: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:41:07: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:41:07: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:41:07: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:41:42: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:41:42: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:41:42: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:41:43: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:41:43: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:41:43: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:44:03: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-10-28T12:44:03: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-10-28T12:44:04: PM2 log: pid=787570 msg=process killed
PM2        | 2025-10-28T12:44:04: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:44:04: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:44:11: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:44:11: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:44:11: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:44:16: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:44:16: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:44:16: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:44:25: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:44:25: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:44:25: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:44:26: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:44:26: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:44:26: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:44:28: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:44:28: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:44:28: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:44:29: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:44:29: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:44:29: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:44:32: PM2 log: App [autocarv7:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-28T12:44:32: PM2 log: App [autocarv7:0] starting in -fork mode-
PM2        | 2025-10-28T12:44:32: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-28T12:46:40: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-10-28T12:46:40: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-10-28T12:46:40: PM2 log: pid=787959 msg=process killed
PM2        | 2025-10-28T12:53:14: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-10-28T12:53:14: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-29T11:06:39: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-10-29T11:06:39: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-10-29T11:06:39: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-10-29T11:06:39: PM2 log: pid=788736 msg=process killed
PM2        | 2025-10-29T11:06:39: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-10-29T11:06:40: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-29T11:08:18: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-10-29T11:08:18: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-10-29T11:08:18: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-10-29T11:08:18: PM2 log: pid=892322 msg=process killed
PM2        | 2025-10-29T11:11:15: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-10-29T11:11:15: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-30T07:57:32: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-10-30T07:57:32: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-10-30T07:57:32: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-10-30T07:57:32: PM2 log: pid=892698 msg=process killed
PM2        | 2025-10-30T07:57:32: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-10-30T07:57:32: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-30T08:01:02: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-10-30T08:01:02: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-10-30T08:01:02: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-10-30T08:01:02: PM2 log: pid=934831 msg=process killed
PM2        | 2025-10-30T08:03:31: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-10-30T08:03:31: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-31T00:47:04: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-10-31T00:47:04: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-10-31T00:47:04: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-10-31T00:47:04: PM2 log: pid=935227 msg=process killed
PM2        | 2025-10-31T00:47:04: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-10-31T00:47:04: PM2 log: App [autocarv7:0] online
PM2        | 2025-10-31T00:48:54: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-10-31T00:48:54: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-10-31T00:48:54: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-10-31T00:48:54: PM2 log: pid=968364 msg=process killed
PM2        | 2025-10-31T00:50:33: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-10-31T00:50:33: PM2 log: App [autocarv7:0] online
PM2        | 2025-11-01T01:11:20: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-11-01T01:11:20: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-11-01T01:11:20: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-11-01T01:11:20: PM2 log: pid=968718 msg=process killed
PM2        | 2025-11-01T01:13:26: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-11-01T01:13:26: PM2 log: App [autocarv7:0] online
PM2        | 2025-11-01T01:13:39: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-11-01T01:13:40: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-11-01T01:13:40: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-11-01T01:13:40: PM2 log: pid=1023547 msg=process killed
PM2        | 2025-11-01T01:13:40: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-11-01T01:13:40: PM2 log: App [autocarv7:0] online
PM2        | 2025-11-01T09:07:28: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-11-01T09:07:28: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-11-01T09:07:28: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-11-01T09:07:28: PM2 log: pid=1023614 msg=process killed
PM2        | 2025-11-01T09:07:28: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-11-01T09:07:28: PM2 log: App [autocarv7:0] online
PM2        | 2025-11-01T10:29:05: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-11-01T10:29:05: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-11-01T10:29:05: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-11-01T10:29:05: PM2 log: pid=1040141 msg=process killed
PM2        | 2025-11-01T10:29:05: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-11-01T10:29:05: PM2 log: App [autocarv7:0] online
PM2        | 2025-11-01T10:42:31: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-11-01T10:42:31: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-11-01T10:42:31: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-11-01T10:42:32: PM2 log: pid=1044018 msg=process killed
PM2        | 2025-11-01T10:42:32: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-11-01T10:42:32: PM2 log: App [autocarv7:0] online
PM2        | 2025-11-01T10:54:53: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-11-01T10:54:53: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-11-01T10:54:53: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-11-01T10:54:53: PM2 log: pid=1044660 msg=process killed
PM2        | 2025-11-01T10:59:19: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-11-01T10:59:19: PM2 log: App [autocarv7:0] online
PM2        | 2025-11-01T10:59:29: PM2 log: Stopping app:autocarv7 id:0
PM2        | 2025-11-01T10:59:29: PM2 log: App name:autocarv7 id:0 disconnected
PM2        | 2025-11-01T10:59:29: PM2 log: App [autocarv7:0] exited with code [0] via signal [SIGINT]
PM2        | 2025-11-01T10:59:30: PM2 log: pid=1045486 msg=process killed
PM2        | 2025-11-01T10:59:30: PM2 log: App [autocarv7:0] starting in -cluster mode-
PM2        | 2025-11-01T10:59:30: PM2 log: App [autocarv7:0] online

/root/.pm2/logs/autocarv7-error-0.log last 200 lines:
0|autocarv |     resourceId: CastError: Cast to ObjectId failed for value "bulk" (type string) at path "resourceId" because of "BSONError"
0|autocarv |         at SchemaObjectId.cast (/var/www/AutoCarV7/node_modules/mongoose/lib/schema/objectId.js:251:11)
0|autocarv |         at SchemaType.applySetters (/var/www/AutoCarV7/node_modules/mongoose/lib/schemaType.js:1259:12)
0|autocarv |         at model.$set (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:1442:22)
0|autocarv |         at model.$set (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:1136:16)
0|autocarv |         at model.Document (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:178:12)
0|autocarv |         at model.Model (/var/www/AutoCarV7/node_modules/mongoose/lib/model.js:127:12)
0|autocarv |         at new model (/var/www/AutoCarV7/node_modules/mongoose/lib/model.js:4845:15)
0|autocarv |         at /var/www/AutoCarV7/node_modules/mongoose/lib/model.js:2775:20
0|autocarv |         at Array.map (<anonymous>)
0|autocarv |         at Function.create (/var/www/AutoCarV7/node_modules/mongoose/lib/model.js:2763:34) {
0|autocarv |       stringValue: '"bulk"',
0|autocarv |       messageFormat: undefined,
0|autocarv |       kind: 'ObjectId',
0|autocarv |       value: 'bulk',
0|autocarv |       path: 'resourceId',
0|autocarv |       reason: BSONError: input must be a 24 character hex string, 12 byte Uint8Array, or an integer
0|autocarv |           at new ObjectId (/var/www/AutoCarV7/node_modules/bson/lib/bson.cjs:2538:23)
0|autocarv |           at castObjectId (/var/www/AutoCarV7/node_modules/mongoose/lib/cast/objectid.js:25:12)
0|autocarv |           at SchemaObjectId.cast (/var/www/AutoCarV7/node_modules/mongoose/lib/schema/objectId.js:249:12)
0|autocarv |           at SchemaType.applySetters (/var/www/AutoCarV7/node_modules/mongoose/lib/schemaType.js:1259:12)
0|autocarv |           at model.$set (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:1442:22)
0|autocarv |           at model.$set (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:1136:16)
0|autocarv |           at model.Document (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:178:12)
0|autocarv |           at model.Model (/var/www/AutoCarV7/node_modules/mongoose/lib/model.js:127:12)
0|autocarv |           at new model (/var/www/AutoCarV7/node_modules/mongoose/lib/model.js:4845:15)
0|autocarv |           at /var/www/AutoCarV7/node_modules/mongoose/lib/model.js:2775:20,
0|autocarv |       valueType: 'string'
0|autocarv |     }
0|autocarv |   },
0|autocarv |   _message: 'ActivityLog validation failed'
0|autocarv | }
0|autocarv | Failed to log activity: Error: ActivityLog validation failed: resourceId: Cast to ObjectId failed for value "bulk" (type string) at path "resourceId" because of "BSONError"
0|autocarv |     at ValidationError.inspect (/var/www/AutoCarV7/node_modules/mongoose/lib/error/validation.js:52:26)
0|autocarv |     at formatValue (node:internal/util/inspect:829:19)
0|autocarv |     at inspect (node:internal/util/inspect:372:10)
0|autocarv |     at formatWithOptionsInternal (node:internal/util/inspect:2334:40)
0|autocarv |     at formatWithOptions (node:internal/util/inspect:2196:10)
0|autocarv |     at console.value (node:internal/console/constructor:350:14)
0|autocarv |     at console.warn (node:internal/console/constructor:383:61)
0|autocarv |     at logActivity (file:///var/www/AutoCarV7/dist/index.js:1399:13)
0|autocarv |     at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
0|autocarv |     at async file:///var/www/AutoCarV7/dist/index.js:3655:7 {
0|autocarv |   errors: {
0|autocarv |     resourceId: CastError: Cast to ObjectId failed for value "bulk" (type string) at path "resourceId" because of "BSONError"
0|autocarv |         at SchemaObjectId.cast (/var/www/AutoCarV7/node_modules/mongoose/lib/schema/objectId.js:251:11)
0|autocarv |         at SchemaType.applySetters (/var/www/AutoCarV7/node_modules/mongoose/lib/schemaType.js:1259:12)
0|autocarv |         at model.$set (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:1442:22)
0|autocarv |         at model.$set (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:1136:16)
0|autocarv |         at model.Document (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:178:12)
0|autocarv |         at model.Model (/var/www/AutoCarV7/node_modules/mongoose/lib/model.js:127:12)
0|autocarv |         at new model (/var/www/AutoCarV7/node_modules/mongoose/lib/model.js:4845:15)
0|autocarv |         at /var/www/AutoCarV7/node_modules/mongoose/lib/model.js:2775:20
0|autocarv |         at Array.map (<anonymous>)
0|autocarv |         at Function.create (/var/www/AutoCarV7/node_modules/mongoose/lib/model.js:2763:34) {
0|autocarv |       stringValue: '"bulk"',
0|autocarv |       messageFormat: undefined,
0|autocarv |       kind: 'ObjectId',
0|autocarv |       value: 'bulk',
0|autocarv |       path: 'resourceId',
0|autocarv |       reason: BSONError: input must be a 24 character hex string, 12 byte Uint8Array, or an integer
0|autocarv |           at new ObjectId (/var/www/AutoCarV7/node_modules/bson/lib/bson.cjs:2538:23)
0|autocarv |           at castObjectId (/var/www/AutoCarV7/node_modules/mongoose/lib/cast/objectid.js:25:12)
0|autocarv |           at SchemaObjectId.cast (/var/www/AutoCarV7/node_modules/mongoose/lib/schema/objectId.js:249:12)
0|autocarv |           at SchemaType.applySetters (/var/www/AutoCarV7/node_modules/mongoose/lib/schemaType.js:1259:12)
0|autocarv |           at model.$set (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:1442:22)
0|autocarv |           at model.$set (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:1136:16)
0|autocarv |           at model.Document (/var/www/AutoCarV7/node_modules/mongoose/lib/document.js:178:12)
0|autocarv |           at model.Model (/var/www/AutoCarV7/node_modules/mongoose/lib/model.js:127:12)
0|autocarv |           at new model (/var/www/AutoCarV7/node_modules/mongoose/lib/model.js:4845:15)
0|autocarv |           at /var/www/AutoCarV7/node_modules/mongoose/lib/model.js:2775:20,
0|autocarv |       valueType: 'string'
0|autocarv |     }
0|autocarv |   },
0|autocarv |   _message: 'ActivityLog validation failed'
0|autocarv | }
0|autocarv | Warranty creation error: MongoServerError: E11000 duplicate key error collection: test.warranties index: warrantyNumber_1 dup key: { warrantyNumber: "WRT/2025/0049" }
0|autocarv |     at InsertOneOperation.handleOk (/var/www/AutoCarV7/node_modules/mongodb/lib/operations/insert.js:51:19)
0|autocarv |     at tryOperation (/var/www/AutoCarV7/node_modules/mongodb/lib/operations/execute_operation.js:214:34)
0|autocarv |     at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
0|autocarv |     at async executeOperation (/var/www/AutoCarV7/node_modules/mongodb/lib/operations/execute_operation.js:78:16)
0|autocarv |     at async Collection.insertOne (/var/www/AutoCarV7/node_modules/mongodb/lib/collection.js:154:16) {
0|autocarv |   errorLabelSet: Set(0) {},
0|autocarv |   errorResponse: {
0|autocarv |     index: 0,
0|autocarv |     code: 11000,
0|autocarv |     errmsg: 'E11000 duplicate key error collection: test.warranties index: warrantyNumber_1 dup key: { warrantyNumber: "WRT/2025/0049" }',
0|autocarv |     keyPattern: { warrantyNumber: 1 },
0|autocarv |     keyValue: { warrantyNumber: 'WRT/2025/0049' }
0|autocarv |   },
0|autocarv |   index: 0,
0|autocarv |   code: 11000,
0|autocarv |   keyPattern: { warrantyNumber: 1 },
0|autocarv |   keyValue: { warrantyNumber: 'WRT/2025/0049' }
0|autocarv | }
0|autocarv | Warranty creation error: MongoServerError: E11000 duplicate key error collection: test.warranties index: warrantyNumber_1 dup key: { warrantyNumber: "WRT/2025/0050" }
0|autocarv |     at InsertOneOperation.handleOk (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/insert.js:51:19)
0|autocarv |     at tryOperation (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/execute_operation.js:214:34)
0|autocarv |     at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
0|autocarv |     at async executeOperation (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/execute_operation.js:78:16)
0|autocarv |     at async Collection.insertOne (/var/www/AutoCarV8/node_modules/mongodb/lib/collection.js:154:16) {
0|autocarv |   errorLabelSet: Set(0) {},
0|autocarv |   errorResponse: {
0|autocarv |     index: 0,
0|autocarv |     code: 11000,
0|autocarv |     errmsg: 'E11000 duplicate key error collection: test.warranties index: warrantyNumber_1 dup key: { warrantyNumber: "WRT/2025/0050" }',
0|autocarv |     keyPattern: { warrantyNumber: 1 },
0|autocarv |     keyValue: { warrantyNumber: 'WRT/2025/0050' }
0|autocarv |   },
0|autocarv |   index: 0,
0|autocarv |   code: 11000,
0|autocarv |   keyPattern: { warrantyNumber: 1 },
0|autocarv |   keyValue: { warrantyNumber: 'WRT/2025/0050' }
0|autocarv | }
0|autocarv | ❌ Warranty creation error: MongoServerError: E11000 duplicate key error collection: test.warranties index: warrantyNumber_1 dup key: { warrantyNumber: "WRT/2025/0051" }
0|autocarv |     at InsertOneOperation.handleOk (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/insert.js:51:19)
0|autocarv |     at tryOperation (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/execute_operation.js:214:34)
0|autocarv |     at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
0|autocarv |     at async executeOperation (/var/www/AutoCarV8/node_modules/mongodb/lib/operations/execute_operation.js:78:16)
0|autocarv |     at async Collection.insertOne (/var/www/AutoCarV8/node_modules/mongodb/lib/collection.js:154:16) {
0|autocarv |   errorLabelSet: Set(0) {},
0|autocarv |   errorResponse: {
0|autocarv |     index: 0,
0|autocarv |     code: 11000,
0|autocarv |     errmsg: 'E11000 duplicate key error collection: test.warranties index: warrantyNumber_1 dup key: { warrantyNumber: "WRT/2025/0051" }',
0|autocarv |     keyPattern: { warrantyNumber: 1 },
0|autocarv |     keyValue: { warrantyNumber: 'WRT/2025/0051' }
0|autocarv |   },
0|autocarv |   index: 0,
0|autocarv |   code: 11000,
